ALST|Hamburg-Langenfelde (S-Bahn)|ds100
ALTG|Lübeck-Travemünde Skandinavienkai Grenze|ds100
ALTH|Lübeck-Travemünde Hafen|ds100
ALTK|Lübeck-Travemünde Skandinavienkai|ds100
ALTS|Lübeck-Travemünde Strand|ds100
ALU|Lunden|ds100
ALUB|Lauenbrück|ds100
ALX|Lübeck ESTW-UZ|ds100
AM|Maschen Rbf|ds100
AM D|Maschen Rbf vorverfügte Leerwagen|ds100
AM N|Maschen Rbf (Mnwf)|ds100
AM O|Maschen Rbf (Mnof)|ds100
AM S|Maschen Rbf (Msof)|ds100
AM W|Maschen Rbf (Mswf)|ds100
AMA|Maschen Pbf|ds100
AMAG|Bad Malente-Gremsmühlen|ds100
AMAR|Marne|ds100
AMBH|Norderstedt Moorbekhalle|ds100
AMD|Meckelfeld|ds100
AMDH|Meckelfeld Hp|ds100
AMDN|Bft Meckelfeld Nord Abzw|ds100
AME|Melsdorf|ds100
AMF|Meldorf Hp|ds100
AMFU|Meldorf|ds100
AMH|Mulmshorn|ds100
AMKT|Möskental|ds100
AML|Hamburg Mittlerer Landweg|ds100
AMLI|Mölln (Lauenburg) Industriegleis|ds100
AMLN|Mölln (Lauenburg)|ds100
AMM|Morsum (Sylt)|ds100
AMM B|Morsum (Sylt) Bahnhof|ds100
AMM K|Morsum Kliff|ds100
AMMH|Munkmarsch Hafen|ds100
AMMHM|Munkmarsch Mitte|ds100
AMML|Morsum (Sylt) Kleinmorsum|ds100
AMMLS|Morsum (Sylt) Skellinghörn|ds100
AMOO|Hamburg-Moorfleet|ds100
AMR|Meimersdorf|ds100
AMRO|Meimersdorf Ost|ds100
AMS|Mulsum-Essel|ds100
AMSB|Maasbüll (b Niebüll)|ds100
AMSS|Meeschensee|ds100
AMUE|Müssen|ds100
AMWL|Knuffingen|ds100
AN|Neumünster|ds100
AN G|Neumünster Gbf|ds100
ANAG|Neumünster Süd AKN DB-Grenze|ds100
ANAK|Altenkrempe|ds100
ANB|Niebüll|ds100
ANB A|Niebüll Autozug|ds100
ANB B|Niebüll Bahnhof|ds100
ANBA|Süderlügum Awanst|ds100
ANBG|Niebüll DB-Grenze|ds100
ANBN|Niebüll neg|ds100
ANBS|Süderlügum|ds100
AND|Norderstedt|ds100
ANDM|Norderstedt Mitte|ds100
ANDS|Nordsode|ds100
ANEB|Hamburg Norderelbbrücke|ds100
ANEK|Neukirchen (Holst)|ds100
ANEZ|Neetzendorf|ds100
ANF|Nortorf|ds100
ANH|Nordhastedt|ds100
ANIB|Norderstedt Industriebahn|ds100
ANL|Neukloster (Kr Stade)|ds100
ANM|Neumünster Süd AKN|ds100
ANMG|Neumünster DB-Grenze|ds100
ANN|Neustadt (Holst) Gbf|ds100
ANNM|Nörnum Mitte|ds100
ANOS|Norddörfer Schule (Sylt)|ds100
ANQ|Neumünster Bedienstandort|ds100
ANR|Hamburg-Neugraben|ds100
ANRS|Hamburg-Neugraben (S-Bahn)|ds100
ANSG|Neumünster Süd DB-Grenze|ds100
ANSJ|Neu St Jürgen|ds100
ANSW|Neumünster Stadtwald|ds100
ANT|Neustadt (Holst)|ds100
ANTB|Hamburg-Nettelnburg|ds100
ANTZ|Nützen|ds100
ANW|Neuwittenbek|ds100
ANWF|Neu Wulmstorf|ds100
ANWG|Neuwittenbek DB-Grenze|ds100
ANWH|Insel Neuwerk|ds100
ANWS|Hamburg-Neuwiedenthal|ds100
ANX|Neumünster ESTW-Z|ds100
ANZ|Nordholz|ds100
ANZA|Nordholz Bundeswehr|ds100
ANZF|Cuxhaven/Nordholz Flugplatz|ds100
AO|Bad Oldesloe|ds100
AOBG|Ottersberg (Han)|ds100
AODF|Oldendorf (Rotb/Wü)|ds100
AODT|Osterstedt|ds100
AOE|Oerel|ds100
AOES|Oerel Süd|ds100
AOF|Otterndorf|ds100
AOH|Hamburg-Othmarschen|ds100
AOHA|Hamburg Oberhafen|ds100
AOL|Oldenburg (Holst)|ds100
AOL A|Oldenburg (Holst) Gbf|ds100
AOLB|Oldenburg (Holst) FBQ|ds100
AOLH|Oldenburg (Holst) Hp|ds100
AON|Osterrönfeld|ds100
AONA|Osterrönfeld Awanst|ds100
AOO|Bad Oldesloe Ost|ds100
AOP|Hamburg-Ohlsdorf|ds100
AOPD|Oppendorf|ds100
AOPDK|Oppendorf Kraftwerk|ds100
AOPS|Hamburg-Ohlsdorf (S-Bahn)|ds100
AOR|Ohrstedt|ds100
AOS|Owschlag|ds100
AOSD|Ostersode|ds100
AOSO|Osterholz-Scharmbeck Ost|ds100
AOST|Ostereistedt|ds100
AOTS|Ottensen (Kr Stade)|ds100
AOW|Hamburg-Tonndorf|ds100
AOZ|Hamburg-Ochsenzoll|ds100
AP|Pinneberg|ds100
APB|Hamburg-Poppenbüttel|ds100
APD|Prisdorf|ds100
APEW|Pellworm|ds100
APF|Pansdorf|ds100
APLN|Plön|ds100
APN|Pönitz (Holst)|ds100
APO|Bad St Peter-Ording|ds100
APOF|Pogeez|ds100
APOK|Puan Klent|ds100
APS|Pinneberg (S-Bahn)|ds100
APSD|Bad St Peter Süd|ds100
APSH|Probsteierhagen|ds100
APSS|Passade|ds100
APU|Puttgarden|ds100
APU F|Puttgarden Fähre|ds100
APUH|Hamburg Pulverhof|ds100
APUL|Landkirchen|ds100
APZ|Preetz|ds100
AQAH|Ahrensburg SH/HH|ds100
AQB|Quickborn|ds100
AQBD|Quickborn Süd|ds100
AQBS|Norderstedt Quickborner Straße|ds100
AQE|Hamburg-Eidelstedt HH/SH|ds100
AQEG|Hamburg Elbgaustraße HH/SH|ds100
AQHI|Hittfeld NI/HH|ds100
AQLA|Lauenburg (Elbe) SH/NI|ds100
AQM|Maschen NI/HH 1255|ds100
AQM G|Maschen NI/HH 1280|ds100
AQMD|Meckelfeld NI/HH|ds100
AQNW|Neu Wulmstorf NI/HH|ds100
AQRB|Reinbek SH/HH 6100|ds100
AQRBK|Reinbek SH/HH 1244|ds100
AQRI|Hamburg-Rissen HH/SH|ds100
AQSA|Sagehorn NI/HB 2200|ds100
AQSAG|Sagehorn NI/HB 1404|ds100
AQWR|Wremen NI/HB|ds100
AR|Rendsburg|ds100
ARAK|Rabenkirchen|ds100
ARAL|Hamburg-Rahlstedt|ds100
ARALB|Hamburg-Rahlstedt Bbf|ds100
